Appid;Title;Top seller rank; Action; Action-Adventure; Card Game; First-Person Shooter; MMORPG; Simulation; Strategy; But First,  You'll Need A Contract; Changing The Game; Expansive Expansions; Free To Play; Horse Armor; Infinite Money Hole; It's Not Gambling, We Swear; Time Is Money;positive;negative;median_forever;median_2weeks;ccu;10%;25%;5%;1%;100%;share ;class_percentile
24200;DC Universe Online;2608;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;14338;3598;498;158;622;1;1;0;0;1;0.062705874;3
667890;Dead Maze;6969;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;3073;1073;105;0;134;0;1;0;0;1;0.167560289;4
311730;DEAD OR ALIVE 5 Last Round: Core Fighters;1625;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;5788;2917;29;0;57;1;1;1;0;1;0.039070953;2
466240;Deceit;1169;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;62670;16803;88;281;1082;1;1;1;0;1;0.028107042;2
625430;Doodle God Blitz;16934;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;461;228;348;0;8;0;0;0;0;1;0.407155394;5
570;Dota 2;7;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1420114;280270;976;1017;634425;1;1;1;1;1;0.000168306;1
661960;Dragon Lords: 3D Strategy;9561;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;80;31;12;0;1;0;1;0;0;1;0.229881465;4
11610;Dragon Nest;12474;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1626;592;943;0;26;0;0;0;0;1;0.299920656;5
381990;Dragon Saga;3662;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;792;385;119;0;49;1;1;0;0;1;0.088047895;3
236110;Dungeon Defenders II;375;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;15035;4460;182;313;612;1;1;1;1;1;0.009016374;1
298160;Eldevin;14407;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1232;333;42;0;7;0;0;0;0;1;0.346397057;5
432290;Elemental Heroes;9975;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;94;67;0;0;6;0;1;0;0;1;0.239835541;4
237310;Elsword;475;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;6576;2182;59;0;496;1;1;1;0;1;0.01142074;2
417860;Emily is Away;11500;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;26897;3475;43;0;24;0;0;0;0;1;0.276502128;5
530630;Empires Apart;11434;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1419;636;270;0;20;0;0;0;0;1;0.274915246;5
416450;Emporea: Realms of War and Magic;4835;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;302;154;114;0;78;0;1;0;0;1;0.116251112;4
440740;Epic battles within 5 seconds!;14666;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;185;147;167;0;1;0;0;0;0;1;0.352624366;5
381560;Epic Cards Battle(TCG);16141;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;385;371;43;0;2;0;0;0;0;1;0.388088769;5
1317950;Eternal Dreamers;7708;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;62;7;0;0;3;0;1;0;0;1;0.185328557;4
205710;EverQuest;1875;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1265;322;193;0;411;1;1;1;0;1;0.045081869;2
201230;EverQuest II;4215;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1558;431;146;0;226;0;1;0;0;1;0.101344041;4
588430;Fallout Shelter;804;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;43890;5761;153;197;1398;1;1;1;0;1;0.019331105;2
390560;Fantasy Strike;6770;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1148;604;266;0;16;0;1;0;0;1;0.1627756;4
370800;Fields of Battle;14564;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;124;49;7;0;2;0;0;0;0;1;0.350171912;5
380600;Fishing Planet;285;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;28393;5409;51;33;2940;1;1;1;1;1;0.006852444;1
1279580;Fortress V2;10683;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;264;175;48;0;26;0;0;0;0;1;0.256858455;5
339610;Freestyle 2: Street Basketball;991;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8449;3089;101;98;361;1;1;1;0;1;0.02382727;2
214420;Gear Up;13964;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;6338;2191;31;0;4;0;0;0;0;1;0.335745714;5
329110;Gems of War - Puzzle RPG;727;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;6658;1619;313;0;2171;1;1;1;0;1;0.017479743;2
1367720;General War Memories;9155;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;12;15;0;0;0;0;1;0;0;1;0.220119737;4
436150;Governor of Poker 3;383;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;6590;2722;81;1389;1402;1;1;1;1;1;0.009208723;1
663090;Granado Espada;1083;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;571;380;5;0;1900;1;1;1;0;1;0.026039287;2
227940;Heroes & Generals;477;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;92700;45145;86;260;2533;1;1;1;0;1;0.011468827;2
374280;Hired Ops;5160;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;7091;3711;87;44;241;0;1;0;0;1;0.124065303;4
627690;Idle Champions of the Forgotten Realms;413;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;7789;1708;73;1141;5674;1;1;1;1;1;0.009930033;1
1353300;Idle Slayer;1983;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;2009;316;5672;763;773;1;1;1;0;1;0.047678584;2
559310;Illyriad - Grand Strategy MMO;16180;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;87;46;0;0;7;0;0;0;0;1;0.389026472;5
932220;IMMURE;12057;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;59;6;0;0;0;0;0;0;0;1;0.289894448;5
424780;Imperia Online;9552;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;136;108;1;0;3;0;1;0;0;1;0.229665072;4
555570;Infestation: The New Z;1302;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;17420;15466;83;5;423;1;1;1;0;1;0.03130485;2
393530;Insanity Clicker;11049;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1809;850;524;0;58;0;0;0;0;1;0.265658436;5
1371480;Iron Conflict;4539;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1175;494;188;0;56;0;1;0;0;1;0.109134188;4
715220;Ironsight;8870;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;11040;4132;71;8;589;0;1;0;0;1;0.213267293;4
219830;King Arthur's Gold;13791;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4351;1189;55;0;1;0;0;0;0;1;0.33158616;5
389430;Knight Online;805;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;4094;780;74;0;35;1;1;1;0;1;0.019355149;2
570460;Laser League: World Arena;9095;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;4840;4994;49;0;1621;0;1;0;0;1;0.218677118;4
954270;LOGistICAL 2;12202;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;54;22;0;0;5;0;0;0;0;1;0.293380779;5
392950;Lost Lands: A Hidden Object Adventure;5973;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;4459;546;0;0;35;0;1;0;0;1;0.143612801;4
435030;Lost Lands: Mahjong;4112;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4386;380;74;0;66;1;1;0;0;1;0.098867543;3
283060;Lucent Heart;8207;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;158;159;0;0;2;0;1;0;0;1;0.197326345;4
342280;Manyland;15663;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;214;37;0;0;2;0;0;0;0;1;0.376595898;5
216150;MapleStory;487;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;6229;2710;103;1377;2086;1;1;1;0;1;0.011709264;2
234330;MARVEL Puzzle Quest;903;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;2816;1219;70;0;388;1;1;1;0;1;0.021711428;2
342200;MechWarrior Online Solaris 7;1121;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;7347;2011;211;0;783;1;1;1;0;1;0.026952947;2
346750;Merchant;6825;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;368;98;621;0;19;0;1;0;0;1;0.164098002;4
356310;METAL SLUG DEFENSE;6575;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;938;815;606;0;3;0;1;0;0;1;0.158087086;4
412470;Metal War Online: Retribution;11736;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;539;412;24;0;5;0;0;0;0;1;0.282176432;5
550900;Metin2;1404;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9909;4291;160;0;511;1;1;1;0;1;0.033757303;2
667870;MINDNIGHT;16486;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2469;453;209;0;12;0;0;0;0;1;0.396383833;5
1259440;Mist Legacy;2313;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1925;461;563;0;268;1;1;0;0;1;0.055612993;3
389570;Mitos.is: The Game;6717;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;9470;2248;78;0;34;0;1;0;0;1;0.161501286;4
287920;Mortal Online;8296;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1524;1405;83;0;2;0;1;0;0;1;0.199466231;4
431510;Mystic Destinies: Serendipity of Aeons;9082;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;306;68;0;0;2;0;1;0;0;1;0.21836455;4
615340;Mystic Journey: Tri Peaks Solitaire;15178;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;73;60;10;0;2;0;0;0;0;1;0.364934721;5
