Appid;Title;Top seller rank; Action; Action-Adventure; Card Game; First-Person Shooter; MMORPG; Simulation; Strategy; But First,  You'll Need A Contract; Changing The Game; Expansive Expansions; Free To Play; Horse Armor; Infinite Money Hole; It's Not Gambling, We Swear; Time Is Money;positive;negative;median_forever;median_2weeks;ccu;10%;25%;5%;1%;100%;share ;class_percentile
1029550;Torque Drift;2339;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4580;1576;38;101;310;1;1;0;0;1;0.056238128;3
300080;Total War Battles: KINGDOM;8548;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1879;1739;149;0;44;0;1;0;0;1;0.205525234;4
823130;Totally Accurate Battlegrounds;1529;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;60827;8563;68;10;762;1;1;1;0;1;0.036762761;2
878380;Touhou Big Big Battle;3845;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2969;694;82;0;43;1;1;0;0;1;0.092447885;3
335240;Transformice;1435;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;19141;2860;50;307;2007;1;1;1;0;1;0.034502657;2
372000;Tree of Savior (English Ver.);1568;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;12615;6917;466;0;646;1;1;1;0;1;0.037700464;2
442810;UFO Online: Invasion;13094;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;340;240;30;0;3;0;0;0;0;1;0.314827727;5
408900;Unfortunate Spacemen;3745;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;5867;851;56;0;71;1;1;0;0;1;0.090043519;3
304930;Unturned;574;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;431327;40298;343;1481;41722;1;1;1;0;1;0.013801063;2
460060;Varenje;14617;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;1045;152;0;0;1;0;0;0;0;1;0.351446226;5
339600;VEGA Conflict;747;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2564;1819;427;0;488;1;1;1;0;1;0.017960616;2
212160;Vindictus;2410;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;4580;1576;38;101;310;1;1;0;0;1;0.057945229;3
215080;WAKFU;1781;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;6468;2107;107;1;382;1;1;1;0;1;0.042821764;2
236390;War Thunder;17;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;223874;60662;365;325;50208;1;1;1;1;1;0.000408742;1
298240;War Trigger 3;7487;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;4979;3371;29;0;14;0;1;0;0;1;0.180014907;4
230410;Warframe;24;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;187;125;0;0;5;1;1;1;1;1;0.000577048;1
391460;WARMODE;10341;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;430214;45517;383;115;37225;0;1;0;0;1;0.248635522;4
326360;Warspear Online;1056;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;10426;6475;39;0;24;1;1;1;0;1;0.025390108;2
1543590;Wildshape - Map Editor (free demo);5089;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1494;454;49;0;313;0;1;0;0;1;0.122358202;4
707010;Will To Live Online;837;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8615;3224;149;1508;2094;1;1;1;0;1;0.020124546;2
262410;World of Guns: Gun Disassembly;1970;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;14255;2805;41;0;140;1;1;1;0;1;0.047366017;2
444200;World of Tanks Blitz;82;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;85370;20731;141;176;27733;1;1;1;1;1;0.00197158;1
552990;World of Warships;45;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;78652;18985;181;208;7001;1;1;1;1;1;0.001081965;1
370070;Wyrmsun;13828;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;194;49;0;0;2;0;0;0;0;1;0.332475776;5
625340;XERA: Survival;6304;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;4343;1983;117;0;109;0;1;0;0;1;0.151571253;4
601510;Yu-Gi-Oh! Duel Links;335;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;30555;5851;177;44;3482;1;1;1;1;1;0.008054627;1
1283960;????? ~ Touhou Hakanai Cards;10730;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2969;694;82;0;43;0;0;0;0;1;0.257988507;5
